date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:57:24	32261/32261	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Sep%202025%2017:57:24%20GMT	https://fragment.com/username/hill	C:/My%20Web%20Sites/fragmentost/fragment.com/username/hill.html	(from )
00:57:25	471/471	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Sep%202025%2017:57:25%20GMT	https://fragment.com/robots.txt		(from )
00:57:25	6166/6166	---MCZ	200	added ('OK')	text/css	etag:%2263512b7d-1816%22	https://fragment.com/css/font-roboto.css?1	C:/My%20Web%20Sites/fragmentost/fragment.com/css/font-robotoc4ca.css	(from https://fragment.com/username/hill)
00:57:25	42523/42523	---MCZ	200	added ('OK')	text/css	etag:%225a05e7c6-a61b%22	https://fragment.com/css/bootstrap.min.css?3	C:/My%20Web%20Sites/fragmentost/fragment.com/css/bootstrap.mineccb.css	(from https://fragment.com/username/hill)
00:57:26	71240/71240	---MCZ	200	added ('OK')	text/css	etag:%225a05e7c6-11648%22	https://fragment.com/css/bootstrap-extra.css?2	C:/My%20Web%20Sites/fragmentost/fragment.com/css/bootstrap-extrac81e.css	(from https://fragment.com/username/hill)
00:57:27	199147/199147	---MCZ	200	added ('OK')	text/css	etag:%2268bf5e19-309eb%22	https://fragment.com/css/auction.css?94	C:/My%20Web%20Sites/fragmentost/fragment.com/css/auctionf4b9.css	(from https://fragment.com/username/hill)
00:57:27	95786/95786	---MCZ	200	added ('OK')	application/javascript	etag:%225a05e7c6-1762a%22	https://fragment.com/js/jquery.min.js?1	C:/My%20Web%20Sites/fragmentost/fragment.com/js/jquery.minc4ca.js	(from https://fragment.com/username/hill)
00:57:27	32013/32013	---MCZ	200	added ('OK')	application/javascript	etag:%225a05e7c6-7d0d%22	https://fragment.com/js/bootstrap.min.js	C:/My%20Web%20Sites/fragmentost/fragment.com/js/bootstrap.min.js	(from https://fragment.com/username/hill)
00:57:28	38646/38646	---MCZ	200	added ('OK')	application/javascript	etag:%2268813d4d-96f6%22	https://fragment.com/js/main-aj.js?72	C:/My%20Web%20Sites/fragmentost/fragment.com/js/main-aj32bb.js	(from https://fragment.com/username/hill)
00:57:28	65498/65498	---MCZ	200	added ('OK')	application/javascript	etag:%2267f51cfb-ffda%22	https://fragment.com/js/jquery-ex.js?22	C:/My%20Web%20Sites/fragmentost/fragment.com/js/jquery-exb6d7.js	(from https://fragment.com/username/hill)
00:57:28	98751/98751	---MCZ	200	added ('OK')	application/javascript	etag:%2268b04f8e-181bf%22	https://fragment.com/js/jquery-ui.min.js?1	C:/My%20Web%20Sites/fragmentost/fragment.com/js/jquery-ui.minc4ca.js	(from https://fragment.com/username/hill)
00:57:28	65571/65571	---MCZ	200	added ('OK')	application/javascript	etag:%22634eeb2d-10023%22	https://fragment.com/js/qr-code-styling.js?1	C:/My%20Web%20Sites/fragmentost/fragment.com/js/qr-code-stylingc4ca.js	(from https://fragment.com/username/hill)
00:57:29	359152/359152	---MCZ	200	added ('OK')	application/javascript	etag:%226888da2b-57af0%22	https://fragment.com/js/tonconnect-ui.min.js?7	C:/My%20Web%20Sites/fragmentost/fragment.com/js/tonconnect-ui.min8f14.js	(from https://fragment.com/username/hill)
00:57:29	176133/176133	---MCZ	200	added ('OK')	application/javascript	etag:%2268bf5e19-2b005%22	https://fragment.com/js/auction.js?99	C:/My%20Web%20Sites/fragmentost/fragment.com/js/auctionac62.js	(from https://fragment.com/username/hill)
00:57:29	24604/24604	---MCZ	200	added ('OK')	application/javascript	etag:%2264242194-601c%22	https://fragment.com/js/tgsticker.js?31	C:/My%20Web%20Sites/fragmentost/fragment.com/js/tgstickerc16a.js	(from https://fragment.com/username/hill)
00:57:31	20469/20469	---MCZ	200	added ('OK')	application/javascript	etag:W/%22642abc84-4ff5%22	https://telegram.org/js/telegram-widget.js?22	C:/My%20Web%20Sites/fragmentost/telegram.org/js/telegram-widgetb6d7.js	(from https://fragment.com/username/hill)
